#Observations,"# Datastreams"
1,1712556
2,809590
3,531537
4,782278
5,305680
6,743073
7,283390
8,229383
9,117687
10,118728
11,176153
12,904800
13,87042
14,137242
15,125343
16,129077
17,78625
18,145711
19,83258
20,109660
21,76877
22,106791
23,104853
24,232602
25,44902
26,44679
27,52630
28,59577
29,27334
30,40636
31,52942
32,51111
33,51572
34,36356
35,37399
36,62502
37,24316
38,26569
39,21727
40,37345
41,35964
42,44139
43,24245
44,20310
45,29511
46,24049
47,46212
48,48815
49,16163
50,26802
51,17276
52,12642
53,13925
54,20742
55,12681
56,15846
57,13446
58,14432
59,12290
60,13522
61,9699
62,8948
63,9972
64,8410
65,6871
66,10321
67,8002
68,7828
69,6784
70,6673
71,9866
72,7794
73,4011
74,5087
75,5462
76,8355
77,4264
78,4945
79,4369
80,3971
81,3665
82,5341
83,3673
84,4820
85,2594
86,3125
87,3097
88,3612
89,4190
90,4836
91,3015
92,2521
93,2729
94,3620
95,3656
96,6556
97,1805
98,2297
99,4150
100,2346
101,2924
102,4582
103,3035
104,2827
105,1801
106,2267
107,1813
108,1848
109,1073
110,1479
111,1761
112,2374
113,2037
114,1849
115,1391
116,1220
117,815
118,1073
119,944
120,1331
121,930
122,1081
123,733
124,803
125,1032
126,776
127,754
128,1096
129,733
130,888
131,690
132,897
133,640
134,595
135,623
136,663
137,519
138,580
139,365
140,730
141,913
142,828
143,539
144,766
145,374
146,410
147,445
148,433
149,420
150,369
151,436
152,408
153,377
154,552
155,475
156,710
157,516
158,376
159,407
160,284
161,325
162,228
163,309
164,575
165,248
166,329
167,275
168,393
169,283
170,336
171,341
172,327
173,222
174,241
175,260
176,259
177,334
178,233
179,480
180,489
181,255
182,243
183,237
184,327
185,248
186,253
187,259
188,262
189,253
190,298
191,316
192,365
193,304
194,351
195,183
196,219
197,180
198,263
199,347
200,208
201,410
202,207
203,391
204,493
205,181
206,167
207,302
208,430
209,182
210,217
211,252
212,236
213,226
214,197
215,171
216,200
217,289
218,251
219,214
220,195
221,191
222,248
223,197
224,211
225,247
226,165
227,256
228,320
229,186
230,168
231,144
232,136
233,107
234,140
235,130
236,131
237,118
238,149
239,118
240,148
241,112
242,109
243,125
244,145
245,116
246,130
247,143
248,169
249,102
250,145
251,147
252,128
253,93
254,100
255,96
256,88
257,102
258,119
259,109
260,127
261,94
262,89
263,74
264,98
265,71
266,68
267,82
268,92
269,82
270,74
271,71
272,54
273,54
274,79
275,86
276,52
277,71
278,83
279,69
280,87
281,91
282,95
283,64
284,68
285,48
286,50
287,60
288,98
289,62
290,75
291,59
292,68
293,61
294,86
295,55
296,68
297,59
298,49
299,69
300,83
301,66
302,74
303,81
304,56
305,42
306,52
307,49
308,51
309,46
310,53
311,46
312,55
313,105
314,39
315,49
316,56
317,58
318,81
319,47
320,56
321,50
322,41
323,74
324,63
325,60
326,63
327,66
328,55
329,48
330,41
331,26
332,40
333,49
334,48
335,56
336,44
337,68
338,72
339,45
340,55
341,42
342,40
343,30
344,38
345,30
346,42
347,41
348,31
349,42
350,31
351,34
352,47
353,39
354,41
355,33
356,36
357,33
358,32
359,39
360,41
361,29
362,57
363,40
364,35
365,25
366,25
367,23
368,45
369,36
370,25
371,32
372,52
373,34
374,28
375,42
376,30
377,36
378,20
379,39
380,35
381,20
382,40
383,30
384,34
385,21
386,33
387,35
388,27
389,24
390,27
391,47
392,29
393,22
394,24
395,32
396,48
397,38
398,30
399,34
400,36
401,47
402,46
403,36
404,32
405,40
406,30
407,33
408,41
409,37
410,39
411,34
412,40
413,38
414,49
415,41
416,33
417,35
418,42
419,39
420,28
421,35
422,42
423,36
424,57
425,37
426,37
427,38
428,38
429,33
430,41
431,36
432,37
433,27
434,26
435,27
436,37
437,21
438,42
439,37
440,26
441,19
442,29
443,35
444,46
445,32
446,31
447,35
448,29
449,25
450,23
451,46
452,25
453,41
454,28
455,26
456,32
457,45
458,24
459,40
460,37
461,38
462,28
463,26
464,41
465,37
466,26
467,38
468,28
469,21
470,22
471,14
472,24
473,12
474,13
475,28
476,18
477,8
478,16
479,24
480,25
481,19
482,17
483,16
484,13
485,23
486,17
487,16
488,13
489,17
490,8
491,9
492,14
493,10
494,16
495,23
496,13
497,16
498,16
499,17
500,28
501,17
502,27
503,22
504,9
505,18
506,13
507,19
508,31
509,41
510,20
511,14
512,17
513,10
514,14
515,12
516,7
517,20
518,9
519,20
520,14
521,3
522,5
523,4
524,5
525,7
526,9
527,15
528,6
529,10
530,9
531,10
532,10
533,12
534,15
535,9
536,2
537,3
538,8
539,13
540,9
541,8
542,8
543,10
544,10
545,5
546,4
547,1
548,3
551,3
552,9
553,7
554,3
555,3
556,6
557,10
558,9
559,9
560,11
561,11
562,6
563,5
564,3
565,7
566,8
567,8
568,5
569,3
570,2
571,3
572,5
573,5
574,6
575,1
576,6
577,5
578,5
579,5
580,12
581,9
582,14
583,5
584,7
587,3
588,4
589,11
590,2
591,8
592,7
594,2
595,4
596,5
597,2
598,4
599,4
600,2
601,1
602,1
603,2
604,2
605,1
608,1
609,2
610,2
611,2
612,3
613,1
615,4
619,1
620,5
621,3
622,2
625,3
626,4
627,6
628,2
630,2
631,2
632,1
634,1
635,4
637,2
638,1
639,5
640,1
641,3
643,2
646,1
647,2
648,1
649,3
650,1
651,3
652,2
656,2
659,1
660,1
661,1
663,1
664,1
666,1
667,1
668,4
669,1
672,3
673,1
674,2
675,1
676,1
678,1
679,1
684,2
685,2
689,4
695,1
697,1
698,2
702,1
703,1
704,2
706,1
710,1
711,4
712,2
713,1
720,4
722,1
723,2
728,4
729,3
738,2
740,1
744,1
746,1
761,1
773,1
774,5
777,1
781,2
782,1
783,1
794,1
828,4
843,1
959,1
977,1
989,1
1023,1
1082,1
1109,1
1129,1
1131,4
1140,1
1143,1
1146,1
1150,1
1234,1
1344,1
1351,1
1449,1
1461,1
1594,1
1620,1
1668,1
1673,1
1681,1
1724,1
1793,1
1939,1
2044,4
2096,1
2282,1
2635,1
2740,1
2895,1
2897,1
2919,1
3503,1
3718,1
3725,1
3773,1
4352,1
4581,1
4701,1
4765,1
4791,1
4944,1
6266,1
6271,1
6274,1
7885,1
7910,1
8172,1
8650,1
9024,1
9312,1
10179,1
10224,1
26731,1
